"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"c:\Development\mqtt\src\codec\packet\SPEC.md", "Markdown", 0, 151, 0, 46, 197
"c:\Development\mqtt\src\codec\packet\connect_codec.cpp", "C++", 136, 0, 26, 35, 197
"c:\Development\mqtt\src\codec\packet\connect_codec.h", "C++", 10, 0, 75, 11, 96
"c:\Development\mqtt\src\codec\packet\control_codec.cpp", "C++", 95, 0, 14, 26, 135
"c:\Development\mqtt\src\codec\packet\control_codec.h", "C++", 14, 0, 87, 17, 118
"c:\Development\mqtt\src\codec\packet\publish_codec.cpp", "C++", 147, 0, 21, 42, 210
"c:\Development\mqtt\src\codec\packet\publish_codec.h", "C++", 16, 0, 105, 20, 141
"c:\Development\mqtt\src\codec\packet\subscribe_codec.cpp", "C++", 136, 0, 16, 34, 186
"c:\Development\mqtt\src\codec\packet\subscribe_codec.h", "C++", 14, 0, 75, 17, 106
"c:\Development\mqtt\src\codec\packet\test\TEST_SPEC.md", "Markdown", 0, 119, 0, 38, 157
"c:\Development\mqtt\src\codec\packet\test\connect_codec_test.cpp", "C++", 282, 0, 26, 71, 379
"c:\Development\mqtt\src\codec\packet\test\control_codec_test.cpp", "C++", 149, 0, 14, 41, 204
"c:\Development\mqtt\src\codec\packet\test\publish_codec_test.cpp", "C++", 223, 0, 19, 55, 297
"c:\Development\mqtt\src\codec\packet\test\subscribe_codec_test.cpp", "C++", 218, 0, 20, 58, 296
"c:\Development\mqtt\src\codec\packet_reader\SPEC.md", "Markdown", 0, 40, 0, 15, 55
"c:\Development\mqtt\src\codec\packet_reader\packet_reader.cpp", "C++", 50, 0, 0, 7, 57
"c:\Development\mqtt\src\codec\packet_reader\packet_reader.h", "C++", 15, 0, 33, 9, 57
"c:\Development\mqtt\src\codec\packet_reader\test\TEST_SPEC.md", "Markdown", 0, 33, 0, 10, 43
"c:\Development\mqtt\src\codec\packet_reader\test\packet_reader_test.cpp", "C++", 231, 0, 19, 86, 336
"c:\Development\mqtt\src\codec\primitive\SPEC.md", "Markdown", 0, 34, 0, 11, 45
"c:\Development\mqtt\src\codec\primitive\primitive_codec.cpp", "C++", 113, 0, 2, 21, 136
"c:\Development\mqtt\src\codec\primitive\primitive_codec.h", "C++", 24, 0, 99, 21, 144
"c:\Development\mqtt\src\codec\primitive\test\TEST_SPEC.md", "Markdown", 0, 57, 0, 15, 72
"c:\Development\mqtt\src\codec\primitive\test\primitive_codec_test.cpp", "C++", 280, 0, 20, 54, 354
"c:\Development\mqtt\src\codec\properties\SPEC.md", "Markdown", 0, 30, 0, 13, 43
"c:\Development\mqtt\src\codec\properties\properties_codec.cpp", "C++", 164, 0, 14, 29, 207
"c:\Development\mqtt\src\codec\properties\properties_codec.h", "C++", 12, 0, 41, 7, 60
"c:\Development\mqtt\src\codec\properties\test\TEST_SPEC.md", "Markdown", 0, 32, 0, 7, 39
"c:\Development\mqtt\src\codec\properties\test\properties_codec_test.cpp", "C++", 321, 0, 22, 43, 386
"c:\Development\mqtt\src\codec\read_buffer.h", "C++", 43, 0, 37, 12, 92
"c:\Development\mqtt\src\codec\write_buffer.h", "C++", 6, 0, 10, 6, 22
"c:\Development\mqtt\src\connection\SPEC.md", "Markdown", 0, 38, 0, 13, 51
"c:\Development\mqtt\src\connection\connection_error.h", "C++", 22, 0, 29, 9, 60
"c:\Development\mqtt\src\connection\connection_state.cpp", "C++", 47, 0, 0, 11, 58
"c:\Development\mqtt\src\connection\connection_state.h", "C++", 24, 0, 65, 15, 104
"c:\Development\mqtt\src\connection\keep_alive_timer.cpp", "C++", 24, 0, 0, 10, 34
"c:\Development\mqtt\src\connection\keep_alive_timer.h", "C++", 17, 0, 49, 11, 77
"c:\Development\mqtt\src\connection\receive_maximum.cpp", "C++", 29, 0, 0, 13, 42
"c:\Development\mqtt\src\connection\receive_maximum.h", "C++", 16, 0, 55, 12, 83
"c:\Development\mqtt\src\connection\test\TEST_SPEC.md", "Markdown", 0, 57, 0, 9, 66
"c:\Development\mqtt\src\connection\test\connection_test.cpp", "C++", 296, 0, 8, 52, 356
"c:\Development\mqtt\src\connection\topic_alias_table.cpp", "C++", 45, 0, 0, 13, 58
"c:\Development\mqtt\src\connection\topic_alias_table.h", "C++", 26, 0, 79, 14, 119
"c:\Development\mqtt\src\data_model\SPEC.md", "Markdown", 0, 19, 0, 6, 25
"c:\Development\mqtt\src\data_model\message\SPEC.md", "Markdown", 0, 43, 0, 13, 56
"c:\Development\mqtt\src\data_model\message\message.h", "C++", 22, 0, 17, 9, 48
"c:\Development\mqtt\src\data_model\message\test\TEST_SPEC.md", "Markdown", 0, 15, 0, 5, 20
"c:\Development\mqtt\src\data_model\message\test\message_test.cpp", "C++", 67, 0, 4, 15, 86
"c:\Development\mqtt\src\data_model\packet\SPEC.md", "Markdown", 0, 19, 0, 6, 25
"c:\Development\mqtt\src\data_model\packet\connect_packet.h", "C++", 35, 0, 15, 11, 61
"c:\Development\mqtt\src\data_model\packet\control_packets.h", "C++", 22, 0, 18, 11, 51
"c:\Development\mqtt\src\data_model\packet\packet_type.h", "C++", 22, 0, 11, 6, 39
"c:\Development\mqtt\src\data_model\packet\publish_packets.h", "C++", 45, 0, 19, 15, 79
"c:\Development\mqtt\src\data_model\packet\subscribe_packets.h", "C++", 50, 0, 28, 17, 95
"c:\Development\mqtt\src\data_model\packet\test\TEST_SPEC.md", "Markdown", 0, 55, 0, 21, 76
"c:\Development\mqtt\src\data_model\packet\test\packet_test.cpp", "C++", 145, 0, 22, 39, 206
"c:\Development\mqtt\src\data_model\property\SPEC.md", "Markdown", 0, 33, 0, 11, 44
"c:\Development\mqtt\src\data_model\property\property.h", "C++", 23, 0, 13, 8, 44
"c:\Development\mqtt\src\data_model\property\property_id.h", "C++", 33, 0, 9, 6, 48
"c:\Development\mqtt\src\data_model\property\property_maps.h", "C++", 121, 0, 20, 8, 149
"c:\Development\mqtt\src\data_model\property\test\TEST_SPEC.md", "Markdown", 0, 35, 0, 9, 44
"c:\Development\mqtt\src\data_model\property\test\property_test.cpp", "C++", 167, 0, 13, 33, 213
"c:\Development\mqtt\src\data_model\reason_code\SPEC.md", "Markdown", 0, 18, 0, 10, 28
"c:\Development\mqtt\src\data_model\reason_code\reason_code.h", "C++", 59, 0, 25, 12, 96
"c:\Development\mqtt\src\data_model\reason_code\test\TEST_SPEC.md", "Markdown", 0, 20, 0, 5, 25
"c:\Development\mqtt\src\data_model\reason_code\test\reason_code_test.cpp", "C++", 68, 0, 2, 18, 88
"c:\Development\mqtt\src\data_model\session\SPEC.md", "Markdown", 0, 50, 0, 21, 71
"c:\Development\mqtt\src\data_model\session\inflight_direction.h", "C++", 8, 0, 10, 6, 24
"c:\Development\mqtt\src\data_model\session\inflight_entry.h", "C++", 18, 0, 11, 8, 37
"c:\Development\mqtt\src\data_model\session\inflight_state.h", "C++", 10, 0, 14, 6, 30
"c:\Development\mqtt\src\data_model\session\session_state.h", "C++", 13, 0, 16, 8, 37
"c:\Development\mqtt\src\data_model\session\test\TEST_SPEC.md", "Markdown", 0, 26, 0, 9, 35
"c:\Development\mqtt\src\data_model\session\test\session_test.cpp", "C++", 112, 0, 4, 24, 140
"c:\Development\mqtt\src\data_model\subscription\SPEC.md", "Markdown", 0, 44, 0, 23, 67
"c:\Development\mqtt\src\data_model\subscription\retain_handling.h", "C++", 9, 0, 9, 6, 24
"c:\Development\mqtt\src\data_model\subscription\shared_subscription.h", "C++", 9, 0, 12, 7, 28
"c:\Development\mqtt\src\data_model\subscription\subscription.h", "C++", 20, 0, 11, 8, 39
"c:\Development\mqtt\src\data_model\subscription\subscription_options.h", "C++", 16, 0, 13, 7, 36
"c:\Development\mqtt\src\data_model\subscription\test\TEST_SPEC.md", "Markdown", 0, 28, 0, 9, 37
"c:\Development\mqtt\src\data_model\subscription\test\subscription_test.cpp", "C++", 99, 0, 8, 25, 132
"c:\Development\mqtt\src\data_model\types\SPEC.md", "Markdown", 0, 31, 0, 11, 42
"c:\Development\mqtt\src\data_model\types\binary_data.h", "C++", 11, 0, 10, 8, 29
"c:\Development\mqtt\src\data_model\types\integers.h", "C++", 6, 0, 6, 7, 19
"c:\Development\mqtt\src\data_model\types\qos.h", "C++", 9, 0, 9, 6, 24
"c:\Development\mqtt\src\data_model\types\test\TEST_SPEC.md", "Markdown", 0, 33, 0, 11, 44
"c:\Development\mqtt\src\data_model\types\test\types_test.cpp", "C++", 101, 0, 5, 25, 131
"c:\Development\mqtt\src\data_model\types\utf8_string.h", "C++", 15, 0, 15, 10, 40
"c:\Development\mqtt\src\data_model\types\variable_byte_integer.h", "C++", 16, 0, 14, 9, 39
"c:\Development\mqtt\src\main.cpp", "C++", 10, 0, 0, 3, 13
"c:\Development\mqtt\src\network\SPEC.md", "Markdown", 0, 101, 0, 40, 141
"c:\Development\mqtt\src\network\network_error.h", "C++", 24, 0, 20, 9, 53
"c:\Development\mqtt\src\network\stream_buffer.cpp", "C++", 51, 0, 3, 12, 66
"c:\Development\mqtt\src\network\stream_buffer.h", "C++", 18, 0, 68, 11, 97
"c:\Development\mqtt\src\network\tcp_connection.h", "C++", 24, 0, 66, 18, 108
"c:\Development\mqtt\src\network\tcp_connection_posix.cpp", "C++", 51, 0, 3, 19, 73
"c:\Development\mqtt\src\network\tcp_connection_win32.cpp", "C++", 51, 0, 1, 17, 69
"c:\Development\mqtt\src\network\tcp_listener.h", "C++", 22, 0, 64, 17, 103
"c:\Development\mqtt\src\network\tcp_listener_posix.cpp", "C++", 113, 0, 8, 24, 145
"c:\Development\mqtt\src\network\tcp_listener_win32.cpp", "C++", 122, 0, 19, 25, 166
"c:\Development\mqtt\src\network\test\TEST_SPEC.md", "Markdown", 0, 47, 0, 14, 61
"c:\Development\mqtt\src\network\test\network_test.cpp", "C++", 419, 0, 49, 104, 572
"c:\Development\mqtt\src\network\write_queue.cpp", "C++", 67, 0, 0, 15, 82
"c:\Development\mqtt\src\network\write_queue.h", "C++", 29, 0, 75, 16, 120
"c:\Development\mqtt\src\qos\SPEC.md", "Markdown", 0, 55, 0, 20, 75
"c:\Development\mqtt\src\qos\packet_id_manager.cpp", "C++", 42, 0, 4, 15, 61
"c:\Development\mqtt\src\qos\packet_id_manager.h", "C++", 23, 0, 66, 13, 102
"c:\Development\mqtt\src\qos\qos1_state_machine.cpp", "C++", 89, 0, 9, 21, 119
"c:\Development\mqtt\src\qos\qos1_state_machine.h", "C++", 25, 0, 80, 12, 117
"c:\Development\mqtt\src\qos\qos2_state_machine.cpp", "C++", 137, 0, 13, 27, 177
"c:\Development\mqtt\src\qos\qos2_state_machine.h", "C++", 33, 0, 122, 15, 170
"c:\Development\mqtt\src\qos\qos_error.h", "C++", 19, 0, 24, 9, 52
"c:\Development\mqtt\src\qos\test\TEST_SPEC.md", "Markdown", 0, 50, 0, 8, 58
"c:\Development\mqtt\src\qos\test\qos_test.cpp", "C++", 474, 0, 13, 112, 599
"c:\Development\mqtt\src\session_manager\SPEC.md", "Markdown", 0, 96, 0, 33, 129
"c:\Development\mqtt\src\session_manager\session_expiry_scheduler.cpp", "C++", 39, 0, 0, 10, 49
"c:\Development\mqtt\src\session_manager\session_expiry_scheduler.h", "C++", 25, 0, 49, 11, 85
"c:\Development\mqtt\src\session_manager\session_manager.cpp", "C++", 104, 0, 17, 28, 149
"c:\Development\mqtt\src\session_manager\session_manager.h", "C++", 38, 0, 75, 12, 125
"c:\Development\mqtt\src\session_manager\session_manager_error.h", "C++", 18, 0, 21, 9, 48
"c:\Development\mqtt\src\session_manager\session_open_result.h", "C++", 7, 0, 13, 5, 25
"c:\Development\mqtt\src\session_manager\session_takeover_handler.cpp", "C++", 29, 0, 2, 8, 39
"c:\Development\mqtt\src\session_manager\session_takeover_handler.h", "C++", 18, 0, 55, 11, 84
"c:\Development\mqtt\src\session_manager\test\TEST_SPEC.md", "Markdown", 0, 38, 0, 13, 51
"c:\Development\mqtt\src\session_manager\test\session_manager_test.cpp", "C++", 255, 0, 25, 46, 326
"c:\Development\mqtt\src\store\SPEC.md", "Markdown", 0, 62, 0, 21, 83
"c:\Development\mqtt\src\store\inflight_store.cpp", "C++", 80, 0, 5, 14, 99
"c:\Development\mqtt\src\store\inflight_store.h", "C++", 31, 0, 68, 14, 113
"c:\Development\mqtt\src\store\retained_message_store.cpp", "C++", 31, 0, 3, 8, 42
"c:\Development\mqtt\src\store\retained_message_store.h", "C++", 18, 0, 36, 10, 64
"c:\Development\mqtt\src\store\session_store.cpp", "C++", 60, 0, 2, 18, 80
"c:\Development\mqtt\src\store\session_store.h", "C++", 29, 0, 68, 14, 111
"c:\Development\mqtt\src\store\store_error.h", "C++", 18, 0, 23, 9, 50
"c:\Development\mqtt\src\store\subscription_store.cpp", "C++", 20, 0, 0, 9, 29
"c:\Development\mqtt\src\store\subscription_store.h", "C++", 20, 0, 49, 12, 81
"c:\Development\mqtt\src\store\test\TEST_SPEC.md", "Markdown", 0, 67, 0, 14, 81
"c:\Development\mqtt\src\store\test\inflight_store_test.cpp", "C++", 105, 0, 0, 20, 125
"c:\Development\mqtt\src\store\test\retained_message_store_test.cpp", "C++", 88, 0, 0, 18, 106
"c:\Development\mqtt\src\store\test\session_store_test.cpp", "C++", 116, 0, 2, 22, 140
"c:\Development\mqtt\src\store\test\subscription_store_test.cpp", "C++", 83, 0, 0, 18, 101
"c:\Development\mqtt\src\topic\SPEC.md", "Markdown", 0, 111, 0, 48, 159
"c:\Development\mqtt\src\topic\subscription_trie.cpp", "C++", 90, 0, 8, 20, 118
"c:\Development\mqtt\src\topic\subscription_trie.h", "C++", 36, 0, 83, 18, 137
"c:\Development\mqtt\src\topic\test\TEST_SPEC.md", "Markdown", 0, 125, 0, 37, 162
"c:\Development\mqtt\src\topic\test\subscription_trie_test.cpp", "C++", 137, 0, 6, 29, 172
"c:\Development\mqtt\src\topic\test\topic_matcher_test.cpp", "C++", 142, 0, 16, 50, 208
"c:\Development\mqtt\src\topic\test\topic_validator_test.cpp", "C++", 199, 0, 9, 43, 251
"c:\Development\mqtt\src\topic\topic_error.h", "C++", 36, 0, 22, 10, 68
"c:\Development\mqtt\src\topic\topic_matcher.cpp", "C++", 63, 0, 12, 15, 90
"c:\Development\mqtt\src\topic\topic_matcher.h", "C++", 22, 0, 40, 9, 71
"c:\Development\mqtt\src\topic\topic_validator.cpp", "C++", 58, 0, 4, 16, 78
"c:\Development\mqtt\src\topic\topic_validator.h", "C++", 7, 0, 49, 8, 64
"c:\Development\mqtt\src\will_manager\SPEC.md", "Markdown", 0, 96, 0, 39, 135
"c:\Development\mqtt\src\will_manager\test\TEST_SPEC.md", "Markdown", 0, 42, 0, 11, 53
"c:\Development\mqtt\src\will_manager\test\will_manager_test.cpp", "C++", 255, 0, 14, 54, 323
"c:\Development\mqtt\src\will_manager\will_delay_timer.cpp", "C++", 27, 0, 0, 8, 35
"c:\Development\mqtt\src\will_manager\will_delay_timer.h", "C++", 28, 0, 48, 11, 87
"c:\Development\mqtt\src\will_manager\will_manager_error.h", "C++", 17, 0, 21, 9, 47
"c:\Development\mqtt\src\will_manager\will_publisher.cpp", "C++", 60, 0, 4, 12, 76
"c:\Development\mqtt\src\will_manager\will_publisher.h", "C++", 30, 0, 89, 16, 135
"c:\Development\mqtt\src\will_manager\will_store.cpp", "C++", 18, 0, 0, 8, 26
"c:\Development\mqtt\src\will_manager\will_store.h", "C++", 20, 0, 38, 11, 69
"Total", "-", 10392, 2461, 3845, 3650, 20348
